Team,Conference,Year,Games,Won,Lost,Goals,GPG,Goals Allowed,GAPG,Playoffs
Air Force,ECAC,2011,13,6,7,117,9.0,112,8.615384615384615,no
Air Force,ECAC,2012,13,6,7,142,10.923076923076923,129,9.923076923076923,no
Air Force,ECAC,2013,14,7,7,149,10.642857142857142,136,9.714285714285714,no
Air Force,ECAC,2014,17,11,6,199,11.705882352941176,160,9.411764705882353,yes
Air Force,ECAC,2015,15,8,7,145,9.666666666666666,131,8.733333333333333,no
Air Force,SoCon,2016,18,15,3,181,10.055555555555555,139,7.722222222222222,yes
Air Force,SoCon,2017,18,12,6,197,10.944444444444445,147,8.166666666666666,yes
Air Force,SoCon,2018,15,5,10,118,7.866666666666666,160,10.666666666666666,no
Air Force,SoCon,2019,15,10,5,169,11.266666666666667,120,8.0,no
Albany,America East,2011,15,5,10,138,9.2,177,11.8,no
Albany,America East,2012,16,5,11,171,10.6875,207,12.9375,no
Albany,America East,2013,18,13,5,287,15.944444444444445,225,12.5,yes
Albany,America East,2014,18,12,6,287,15.944444444444445,204,11.333333333333334,yes
Albany,America East,2015,19,16,3,325,17.105263157894736,190,10.0,yes
Albany,America East,2016,16,12,4,207,12.9375,161,10.0625,yes
Albany,America East,2017,18,15,3,277,15.38888888888889,171,9.5,yes
Albany,America East,2018,19,16,3,274,14.421052631578947,164,8.631578947368421,yes
Albany,America East,2019,14,5,9,148,10.571428571428571,163,11.642857142857142,no
Army West Point,Patriot,2011,15,9,6,152,10.133333333333333,120,8.0,no
Army West Point,Patriot,2012,15,7,8,152,10.133333333333333,140,9.333333333333334,no
Army West Point,Patriot,2013,14,8,6,141,10.071428571428571,109,7.785714285714286,no
Army West Point,Patriot,2014,14,9,5,142,10.142857142857142,101,7.214285714285714,no
Army West Point,Patriot,2015,17,10,7,191,11.235294117647058,136,8.0,no
Army West Point,Patriot,2016,17,10,7,193,11.352941176470589,136,8.0,no
Army West Point,Patriot,2017,16,12,4,170,10.625,131,8.1875,no
Army West Point,Patriot,2018,13,5,8,117,9.0,109,8.384615384615385,no
Army West Point,Patriot,2019,18,13,5,200,11.11111111111111,155,8.61111111111111,yes
Bellarmine,ECAC,2011,15,4,11,153,10.2,179,11.933333333333334,no
Bellarmine,ECAC,2012,12,4,8,107,8.916666666666666,124,10.333333333333334,no
Bellarmine,ECAC,2013,14,7,7,125,8.928571428571429,113,8.071428571428571,no
Bellarmine,ECAC,2014,12,7,5,113,9.416666666666666,103,8.583333333333334,no
Bellarmine,SoCon,2015,12,4,8,119,9.916666666666666,116,9.666666666666666,no
